Country Name,Country Code,Birth rate,Internet users,Income Group,Birth rate + 5,Birth rate *0.5,temp
Aruba,ABW,10.244,78.9,High income,5.122,5.122,808.2516
Afghanistan,AFG,35.253,5.9,Low income,17.6265,17.6265,207.9927
Angola,AGO,45.985,19.1,Upper middle income,22.9925,22.9925,878.3135000000001
Albania,ALB,12.877,57.2,Upper middle income,6.4385,6.4385,736.5644000000001
United Arab Emirates,ARE,11.044,88.0,High income,5.522,5.522,971.8720000000001
Argentina,ARG,17.716,59.9,High income,8.858,8.858,1061.1884
Armenia,ARM,13.308,41.9,Lower middle income,6.654,6.654,557.6052
Antigua and Barbuda,ATG,16.447,63.4,High income,8.2235,8.2235,1042.7397999999998
Australia,AUS,13.2,83.0,High income,6.6,6.6,1095.6
Austria,AUT,9.4,80.6188,High income,4.7,4.7,757.8167199999999
Azerbaijan,AZE,18.3,58.7,Upper middle income,9.15,9.15,1074.21
Burundi,BDI,44.151,1.3,Low income,22.0755,22.0755,57.396300000000004
Belgium,BEL,11.2,82.1702,High income,5.6,5.6,920.3062399999999
Benin,BEN,36.44,4.9,Low income,18.22,18.22,178.556
Burkina Faso,BFA,40.551,9.1,Low income,20.2755,20.2755,369.0141
Bangladesh,BGD,20.142,6.63,Lower middle income,10.071,10.071,133.54146
Bulgaria,BGR,9.2,53.0615,Upper middle income,4.6,4.6,488.1658
Bahrain,BHR,15.04,90.0000397,High income,7.52,7.52,1353.6005970879999
"Bahamas, The",BHS,15.339,72.0,High income,7.6695,7.6695,1104.4080000000001
Bosnia and Herzegovina,BIH,9.062,57.79,Upper middle income,4.531,4.531,523.6929799999999
Belarus,BLR,12.5,54.17,Upper middle income,6.25,6.25,677.125
Belize,BLZ,23.092,33.6,Upper middle income,11.546,11.546,775.8912
Bermuda,BMU,10.4,95.3,High income,5.2,5.2,991.12
Bolivia,BOL,24.236,36.94,Lower middle income,12.118,12.118,895.27784
Brazil,BRA,14.931,51.04,Upper middle income,7.4655,7.4655,762.0782399999999
Barbados,BRB,12.188,73.0,High income,6.094,6.094,889.724
Brunei Darussalam,BRN,16.405,64.5,High income,8.2025,8.2025,1058.1225000000002
Bhutan,BTN,18.134,29.9,Lower middle income,9.067,9.067,542.2066
Botswana,BWA,25.267,15.0,Upper middle income,12.6335,12.6335,379.005
Central African Republic,CAF,34.076,3.5,Low income,17.038,17.038,119.266
Canada,CAN,10.9,85.8,High income,5.45,5.45,935.22
Switzerland,CHE,10.2,86.34,High income,5.1,5.1,880.668
Chile,CHL,13.385,66.5,High income,6.6925,6.6925,890.1025
China,CHN,12.1,45.8,Upper middle income,6.05,6.05,554.18
Cote d'Ivoire,CIV,37.32,8.4,Lower middle income,18.66,18.66,313.488
Cameroon,CMR,37.236,6.4,Lower middle income,18.618,18.618,238.3104
"Congo, Rep.",COG,37.011,6.6,Lower middle income,18.5055,18.5055,244.2726
Colombia,COL,16.076,51.7,Upper middle income,8.038,8.038,831.1292000000001
Comoros,COM,34.326,6.5,Low income,17.163,17.163,223.119
Cabo Verde,CPV,21.625,37.5,Lower middle income,10.8125,10.8125,810.9375
Costa Rica,CRI,15.022,45.96,Upper middle income,7.511,7.511,690.41112
